# English  Translations for MVS.

#Code					Text
#--------------------------------------------



# ETHERCAT

FAULTY_ETHERCAT_NOT_CONNECTED			Comunic Fail.
FAULTY_ETHERCAT_NOT_CONNECTED_STDBOARD  Comunic Fail.
FAULTY_ETHERCAT_EJECTION_DISABLED		Ejection Off.
FAULTY_INDEX_TRIGGER_ADVANCED			Adquisition Fail.
EV_ETHERCAT_NOT_CONNECTED_STDBOARD		Ethercat not connected STDBOARD

EV_INDEX_TRIGGER_ADVANCED			Adquisition failure. Index trigger advanced.
EV_CAB_NOT_CONNECTED				Communication failure. Ethercat.

FAULTY_EXECUTE_TIME					Adquisition Fail.
EV_FAIL_EXECUTE_TIME				No time. Fail to execute Get100nsFrom1970micros.

FAULTY_IREAD_EQUALS_IWRITE			Trigger Error.
EV_IREAD_EQUALS_IWRITE				It have no trigger,index read is equal than index write.

FAULTY_FAIL_PUTEXP					Ejection Fail.
EV_PUTEXP_LATE						The ejection order was late.
EV_PUTEXP_NO_ROOM					No room in the ejection buffer.
FAULTY_FAIL_VALVES_LIMITED			Rejection limited

EV_FAIL_STOP_ETHERCAT_REAL_TIME		Fail to stop.
FAULTY_FAIL_ENCODER					Encoder fail.

EV_ELECTRIC_CABINET					Don't find Electric Cabinet.
EV_SYNC_TOO_LATE					Sync too late.
EV_SYNC_EXTRAPOLATION				Sync extrapolation error.

EV_FAIL_MUTEX_IR					Failed to obtain mutex for IR.

EV_GETLASTTRIG_NOT_ENABLED			Get Last Trigger is not enabled.
EV_ETH_NOVERSION					There's no driver version configured in the application. It's configured the installed now:
EV_ETH_INCOMPATIBLEVERSION			Configured driver version is incompatible with installed. Performance may be affected. 
EV_ETH_COMPATIBLEVERSION			Configured driver version is different than the installed one, but it's compatible.


MSG_DRIVER_EJECT			Ejectors Driver               
MSG_ETHERCAT_CONNECTED	    Ejectors Driver connected
MSG_ETHERCAT_NOT_CONNECTED	Ethercat not connected              
MSG_ETHERCAT_VERSION		Driver Version       
MSG_BASE_TIME				Base time
MSG_EJECTION_MODE			Ejection mode
MSG_ETHERCAT_DEVICES		Ethercat devices
MSG_DEVICES_STATE			Devices state
MSG_DEVICES					Terminales
MSG_PULSE_FREQ				Pulse frecuency
MSG_FAILURE_DEVICE			Fail device nº
MSG_PULSE_TURN				Pulse/turn
MSG_TIMER_FREQ				Timer frecuency
MSG_ELECTRIC_CABINET		Electric cabinet
MSG_DRIVER_ELECT_CAB		Electric Cabinet Driver
MSG_BRC_SYSTEM				Rejection bin
MSG_OPENNING_DOOR			Openning door
MSG_BOX_FILLING				Box filling       
MSG_DOOR_OPEN				Open door
MSG_REJECT_PHOTO			Photoelectric sensor rejection active
MSG_BOX_FULL				Full box       
MSG_DRIVER_INVERTERS		Inverters Driver

EV_PRODUCT_AT_THE_END		High percentage of product at the end of machine
EV_EJECTION_DISABLED		Ejection Dishabilitada


#-------------------------------------------------------
#-----------------MAchineSafetyForm---------------------
#-------------------------------------------------------
lb_security_status		Safety status							
safetyNotification_lb	Safety notifications list
notInUse_lb				Not in use:
noti1_lb				Emergency stop front door
noti4_lb				Emergency stop service door
noti4_lb2				Emergency stop left
noti4_lb3				Emergency stop back left
noti3_lb				Empty 1
noti3_lb2				Emergency stop right
noti3_lb3				Emergency stop back right
noti2_lb				Emergency stop external
noti2_lb2				Entrance/exit product stops
noti5_lb				Safety switch front door
noti6_lb				Empty 2
noti6_lb2				Safety switch service door
noti6_lb3				Safety switch service door/curtain left
noti7_lb				Safety switch curtain left
noti7_lb2				Safety switch service door/curtain right
noti7_lb3				Left door
noti8_lb				Safety switch curtain right
noti8_lb2				Safety switch camera 1
noti8_lb3				Right door
noti9_lb				Safety switch service door
noti9_lb2				Left side protection front door
noti9_lb3				Protection right door
noti9_lb4				Safety switch central curtain	
noti10_lb				Safety switch camera 1
noti10_lb2				Left side protection back door
noti11_lb				Empty 3
noti11_lb2				Safety switch camera 2
noti11_lb3				Right side protection front door
noti12_lb				Empty 4
noti12_lb2				Safety switch camera 3
noti12_lb3				Right side protection back door
noti13_lb				Safety relay doors
noti14_lb				Safety relay stops
noti15_lb				XRay key
noti16_lb				Beacon

btn_close_b				CLOSE


#-------------------------------------------------------
#-----------------OMRON FORM----------------------------
#-------------------------------------------------------
configuration_lb			Configuration
inverterToConfig_lb			Inverter to config:
movement_lb					Movement:
labelFreqConf				Frequency (Hz):
status_label				Status
frequency_label				Frequency
forwardMov_lb				Forward movement
reverseMov_lb				Reverse movement
error_lb					Error
warning_lb					Warning
remoteOp_lb					Remote operations
frequencyMat_lb				Frequency matched
cannotUpdate_lb				Can not update data
btn_close_omron				CLOSE

#-----------------OMRON Faulties/EVENTS----------------------------
FAULTY_INV_ERR1				Inverter 1 Error
EV_INV_ERR1					Inverter 1 Error
FAULTY_INV_WARN1			Inverter 1 Warning
EV_INV_WARN1				Inverter 1 Warning
FAULTY_INV_NO_REMOTE1		Inverter 1 Not remote operation
