# Español Traducciones MVS

#Código					Texto
#--------------------------------------------



# ETHERCAT

FAULTY_ETHERCAT_NOT_CONNECTED			Fallo Comunic.
FAULTY_ETHERCAT_NOT_CONNECTED_STDBOARD  Fallo Comunic.
FAULTY_ETHERCAT_EJECTION_DISABLED		Expulsión Off.
FAULTY_INDEX_TRIGGER_ADVANCED			Fallo Adquisición.
EV_ETHERCAT_NOT_CONNECTED_STDBOARD		Ethercat no se puede conectar a STDBOARD

EV_INDEX_TRIGGER_ADVANCED			Fallo adquisición. Índice del trigger avanzado.
EV_CAB_NOT_CONNECTED				Fallo comunicación del Ethercat.

FAULTY_EXECUTE_TIME					Fallo Adquisición.
EV_FAIL_EXECUTE_TIME				No hay tiempo. Fallo al ejecutar Get100nsFrom1970micros.

FAULTY_IREAD_EQUALS_IWRITE			Trigger Error.
EV_IREAD_EQUALS_IWRITE				No tengo trigger,índice de lectura igual al índice de escritura.

FAULTY_FAIL_PUTEXP					Fallo Expulsión.
EV_PUTEXP_LATE						La orden de expulsión llegó tarde.
EV_PUTEXP_NO_ROOM					No hay sitio en el buffer de expulsiones.
FAULTY_FAIL_VALVES_LIMITED			Válvulas limitadas

EV_FAIL_STOP_ETHERCAT_REAL_TIME		Fallo al parar.
FAULTY_FAIL_ENCODER					Fallo encoder.

EV_ELECTRIC_CABINET					No se encuentra el cuadro eléctrico.
EV_SYNC_TOO_LATE					Retraso en la sincronización.
EV_SYNC_EXTRAPOLATION				Error en el sincronismo.

EV_FAIL_MUTEX_IR					Fallo la obtener el mutex del IR.

EV_GETLASTTRIG_NOT_ENABLED			Get Last Trigger no está habilitado.
EV_ETH_NOVERSION					No hay version de driver configurada en la aplicacion. Se configurara la instalada actualmente
EV_ETH_INCOMPATIBLEVERSION			La version de driver configurada en la aplicacion, es INCOMPATIBLE con la instalada
EV_ETH_COMPATIBLEVERSION			La version de driver configurada en la aplicacion, es distinta a la instalada, pero es compatible.


MSG_DRIVER_EJECT			Controlador expulsores
MSG_ETHERCAT_CONNECTED		Controlador expulsores conectado
MSG_ETHERCAT_NOT_CONNECTED	Controlador expulsores desconectado
MSG_ETHERCAT_VERSION		Version Controlador
MSG_BASE_TIME				Base de tiempos
MSG_EJECTION_MODE			Modo de expulsión
MSG_ETHERCAT_DEVICES		Terminales ethercat
MSG_DEVICES_STATE			Estado terminales
MSG_DEVICES					Terminales
MSG_FAILURE_DEVICE			Fallo en el terminal nº
MSG_PULSE_FREQ				Frecuencia pulso
MSG_PULSE_TURN				Pulsos/vuelta
MSG_TIMER_FREQ				Frecuencia timer
MSG_ELECTRIC_CABINET		Cuadro eléctrico
MSG_DRIVER_ELECT_CAB		Controlador del cuadro electrico
MSG_BRC_SYSTEM				Cajón rechazo
MSG_OPENNING_DOOR			Abriendo puerta
MSG_BOX_FILLING				Cajón llenandose
MSG_DOOR_OPEN				Puerta abierta
MSG_REJECT_PHOTO			Fotocelula de rechazo activa
MSG_BOX_FULL				Cajón lleno
MSG_DRIVER_INVERTERS		Controlador variadores

EV_PRODUCT_AT_THE_END		Alto porcentaje de producto al final de máquina
EV_EJECTION_DISABLED		Expulsión deshabilitada


#-------------------------------------------------------
#-----------------MAchineSafetyForm---------------------
#-------------------------------------------------------
lb_security_status		Estado de seguridad	
safetyNotification_lb	Lista de avisos de seguridad
notInUse_lb				Sin usar:
noti1_lb				Paro de emergencia puerta frontal
noti4_lb				Paro de emergencia puerta de servicio
noti4_lb2				Paro de emergencia de la izquierda
noti4_lb3				Paro de emergencia detrás izquierda
noti3_lb				Vacío 1
noti3_lb2				Paro de emergencia de la derecha
noti3_lb3				Paro de emergencia detrás derecha
noti2_lb				Paro de emergencia externo
noti2_lb2				Stops de la entrada/salida producto	
noti5_lb				Cirtuito de seguridad puerta frontal
noti6_lb				Vacío 2
noti6_lb2				Circuito de seguridad puerta de servicio
noti6_lb3				Seguridad puerta servicio/cortinillas izquierda
noti7_lb				Circuito de seguridad cortinillas izquierda
noti7_lb2				Seguridad puerta servicio/cortinillas derecha
noti7_lb3				Puerta izquierda
noti8_lb				Circuito de seguridad cortinillas derecha
noti8_lb2				Circuito de seguridad de la cámara 1
noti8_lb3				Puerta derecha
noti9_lb				Circuito de seguridad puerta de servicio
noti9_lb2				Protección izquierda puerta delantera
noti9_lb3				Protección puerta derecha
noti9_lb4				Circuito de seguridad cortinillas centrales
noti10_lb				Circuito de seguridad de la cámara 1
noti10_lb2				Protección izquierda puerta trasera
noti11_lb				Vacío 3
noti11_lb2				Circuito de seguridad de la cámara 2
noti11_lb3				Protección derecha puerta delantera
noti12_lb				Vacío 4
noti12_lb2				Circuito de seguridad de la cámara 3
noti12_lb3				Protección derecha puerta trasera
noti13_lb				Relé de seguridad de la puerta
noti14_lb				Relé de seguridad de los paros de emergencia
noti15_lb				Llave de rayos X
noti16_lb				Baliza

btn_close_b				CERRAR


#-------------------------------------------------------
#-----------------OMRON FORM----------------------------
#-------------------------------------------------------
configuration_lb			Configuración
inverterToConfig_lb			Variador a configurar:
movement_lb					Movimiento:
labelFreqConf				Frecuencia (Hz):
status_label				Estado
frequency_label				Frecuencia
forwardMov_lb				MOV. hacia adelante
reverseMov_lb				MOV. inverso
error_lb					Error
warning_lb					Alarma
remoteOp_lb					Operación Remota
frequencyMat_lb				Frecuencia establecido
cannotUpdate_lb				No se puede actualizar
btn_close_omron				CERRAR

#-----------------OMRON Faulties/EVENTS----------------------------
FAULTY_INV_ERR1				Error variador 1
EV_INV_ERR1					Error variador 1
FAULTY_INV_WARN1			Alerta variador 1
EV_INV_WARN1				Alerta variador 1
FAULTY_INV_NO_REMOTE1		Variador 1 sin operación remota
EV_INV_NO_REMOTE1			Variador 1 sin operación remota
FAULTY_INV_NO_UP_DATA1 		Variador 1 no puede actualizar información
EV_INV_NO_UP_DATA1 			Variador 1 no puede actualizar información

FAULTY_INV_ERR2				Error variador 2
EV_INV_ERR2					Error variador 2
FAULTY_INV_WARN2			Alerta variador 2
EV_INV_WARN2				Alerta variador 2
FAULTY_INV_NO_REMOTE2		Variador 2 sin operación remota
EV_INV_NO_REMOTE2			Variador 2 sin operación remota
FAULTY_INV_NO_UP_DATA2 		Variador 2 no puede actualizar información
EV_INV_NO_UP_DATA2 			Variador 2 no puede actualizar información

FAULTY_INV_ERR3				Error variador 3
EV_INV_ERR3					Error variador 3
FAULTY_INV_WARN3			Alerta variador 3
EV_INV_WARN3				Alerta variador 3
FAULTY_INV_NO_REMOTE3		Variador 3 sin operación remota
EV_INV_NO_REMOTE3			Variador 3 sin operación remota
FAULTY_INV_NO_UP_DATA3 		Variador 3 no puede actualizar información
EV_INV_NO_UP_DATA3 			Variador 3 no puede actualizar información

FAULTY_INV_ERR4				Error variador 4
EV_INV_ERR4					Error variador 4
FAULTY_INV_WARN4			Alerta variador 4
EV_INV_WARN4				Alerta variador 4
FAULTY_INV_NO_REMOTE4		Variador 4 sin operación remota
EV_INV_NO_REMOTE4			Variador 4 sin operación remota
FAULTY_INV_NO_UP_DATA4		Variador 4 no puede actualizar información
EV_INV_NO_UP_DATA4 			Variador 4 no puede actualizar información

#-----------------XCab Faulties/EVENTS----------------------------
FAULTY_EC_PLC					Electric Cabinet PLC Fault
EV_EC_PLC						Electric Cabinet PLC Fault
FAULTY_BLOCKAGE					Atasco
EV_BLOCKAGE						Atasco
FAULTY_REJBIN_DOOR_OPENING		Abriendo puerta del cajón de rechazo
